	Analysis of efficacy
14908	Analysis of Clinical Variables as Predictors of LMNAMutations in Patients With DCM
14909	Summary of the Reported LMNAMutations Leading to Cardiac Disease  (DCM and/or Arrhythmia/Conduction Disease)
14910	Female Sexual Function Index assessment, by domain
14911	Lung function
14912	Sequence of bronchoscopic treatments with the corresponding placed stent, condition of the transplanted airway, and subglottic stenoses
14913	Response to tenofovir treatment at year 5
14914	Adverse events and laboratory abnormalities reported during open-label phase
14915	Adverse events
14916	Psychometric assessment scores, by individual patient
14917	Summary of adverse events in patients who reported at least one event
14918	Types and severities of adverse events, by system organ class and preferred term
14919	Expression of cell nests positive for c-Jun and proteins involved in tumorigenesis in basal-cell carcinoma
14920	Concentrations of lymphocyte and inflammatory cells infiltrating in basal-cell carcinoma
14921	Summary of prostate cancer progression
14922	Rates of prostate cancer progression  (pathological and therapeutic)
14923	Adverse events
14924	Comparison of Metabolic Profile
14925	Number of patients admitted to hospital with autoimmune disorders in Sweden between 1964 and 2008
14926	Number of patients admitted to hospital for pulmonary embolism in Sweden  (1964–2008)  and subsequent pulmonary embolism in patients with autoimmune disease
14927	SIRs for subsequent pulmonary embolism in patients with autoimmune disorders without previous hospital admission for venous thromboembolism or coexisting venous thromboembolism
14928	Relation of Myocardial Perfusion Grade to Mortality
14929	Univariate Cox Model Predictors of Cumulative Mortality
14930	Multivariate Cox Model Predictors of Cumulative Mortality
14931	Clinical summary
14932	Summary of response to AVI-4658
14933	Summary of available drugs that lower blood glucose
14934	Summary of the clinical efficacy of glucagon-like-peptide-1 agonists in randomised controlled trials
14935	Summary of clinical trials of sodium–glucose-cotransporter-2 inhibitor dapagliflozin
14936	Hemodynamic, Echocardiographic, and Functional Data
14937	Anthropometric and Biochemical Data
14938	Myocardial Work and Efficiency
14939	Lung function tests
14940	Clinical and pathological findings in CFHR5 nephropathy
14941	Catheter and Doppler Echocardiographic Data Obtained In Vitro, in Animals, and in Patients *
14942	Theoretical Values of Doppler-Derived Effective Orifice Areas for Given Catheter-Derived Effective Orifice Areas and Aortic Diameters*
14943	First operation pathology details
14944	Initial and repeat operations
14945	MRI-predicted patient management
14946	Quality of life summaries for patients who completed questionnaires within set timeframes
14947	Risk of stroke associated with risk factors in the overall population  (multivariate analyses)
14948	Risk of stroke associated with key risk factors by region, sex, age, and stroke severity
14949	Population-attributable risk for various risk factor combinations
14950	Risk of ischaemic stroke subtypes  *   associated with risk factors
14951	Risk of ischaemic stroke associated with risk factors by type of respondent for cases
14952	Risk of ischaemic stroke associated with risk factors by source of controls  (community-based or hospital-based)
14953	2,3,7,8-tetrachlorodibenzo-p-dioxin  (TCDD)  concentrations  (pg/g lipid weight [LW] or pg/g wet tissue weight [WW])  as a function of time  (months)  after the day of poisoning in samples analysed
14954	Equations for the calculation of concentrations of 2,3,7,8-tetrachlorodibenzo-p-dioxin  (TCDD)  eliminated from the body and in tissue samples as a function of time
14955	Concentrations of metabolites of 2,3,7,8-tetrachlorodibenzo-p-dioxin  (TCDD)  in samples as a function of time  (months)  after TCDD poisoning
14956	Vaccine efficacy against cervical intraepithelial neoplasia grade 2 or more  (CIN2+) , or grade 3 or more  (CIN3+) , colposcopy referrals, and cervical excision procedures associated with human papillomavirus  (HPV) -16/18, five non-vaccine oncogenic types, and irrespective of HPV DNA in lesion
14957	Safety and pregnancy outcomes in the total vaccine cohort during the entire study
14958	Efficacy of Amiodarone Versus Placebo in Converting AF to Sinus Rhythm at Various Time-Points
14959	Efficacy of Amiodarone Versus Class Ic Drugs in Converting AF to Sinus Rhythm at Various Time-Points
14960	Differences  (placebo–avotermin)  in VAS scores assigned by the IESAP  (lay)  and investigators for varying concentrations of avotermin in studies 1002 and 1005  (within-participant comparisons)
14961	Treatment differences  (placebo–avotermin)  in VAS scores assigned to wound sites by the IESAP  (lay) , IESAP  (clinical) , and investigators at month 7  (LOCF)  after wounding, with varying concentrations of avotermin, in study 0036  (within-participant comparisons)
14962	Histological analysis of the orientation of collagen fibres in the reticular dermis of scars  (study 1005)
14963	Clinical Data Grouped by Etiology and Gender
14964	Cardiac and Myocyte Morphology Data Grouped by Etiology and Gender
14965	Reasons for referral to breast MRI
14966	Sensitivity of mammography and MRI for DCIS detection
14967	Biological profiles of DCIS by method of detection
14968	Distribution of Cases and Method of Diagnosis
14969	Symptoms at Hospital Presentation
14970	Screening findings by age in the intervention group
14971	Additional Care to Conventional Therapy
14972	Stage of disease by study group and detection mode
14973	Logistic Regression Model for Variables Associated With Independent Predictors of Idiopathic Giant Cell Myocarditis
14974	Incidence of and mortality from cervical cancer by study group
14975	Overall and age-specific hazard ratio for incidence for all cervical cancers, cancers at stage II or worse, and for cervical cancer deaths
14976	CIN2+ lesions with HPV16 or HPV18 DNA
14977	Efficacy against CIN2+ and CIN1+ associated with HPV16 or HPV18 in the total vaccinated cohort for efficacy
14978	Vaccine efficacy against persistent infections with oncogenic HPV types in the total vaccinated cohort for efficacy
14979	Safety outcomes
14980	Pregnancy and pregnancy outcomes in the total vaccinated cohort during the entire study
14981	Study design and comparison of protocols 005, 007, 013, and 015
14982	Number of women included in efficacy analyses and reasons for exclusion
14983	Primary analysis of efficacy against HPV16/18-related CIN2/3 and AIS
14984	Vaccine effectiveness against all CIN2/3 and AIS regardless of causal HPV type  (ITT population)
14985	Analysis of efficacy against HPV16/18-related CIN2, CIN3, and AIS by region
14986	Details of thoracoscopy procedure
14987	Side-effects of thoracoscopy
14988	Causes of death within 30 days of thoracoscopy
14989	Multivariable Predictors of the No-Reflow Phenomenon
14990	Univariate Association of Clinical, Exercise Stress Test, and Echocardiographic Variables With Risk of Hard Cardiac Events and All-Cause Mortality
14991	Independent Predictors of All-Cause Mortality Using Four-Step Model
14992	Independent Predictors of Hard Cardiac Events Using Four-Step Model
14993	Clinical Details
14994	Response to Dobutamine Stress: Intragroup Analysis
14995	Individual Contribution of Coronary Artery Disease and Left Bundle Branch Block by Analysis of Variance
14996	Clinical and Echocardiographic Data of the Study Populations
14997	Unadjusted Best Cut-Off Values of AS Indices to Predict Clinical Outcome Efficacy End Points
14998	Multivariate Clinical Efficacy Prediction Models in Group A  (n = 307)
14999	Inter-relationship Between Serum Concentrations of Iron Metabolism Parameters, Oxidative Stress, and Endothelial Function in Patients With Hereditary Hematochromatosis
15000	Pacing Threshold at Implantation and After One and Three Months
15001	Left Ventricular mRNA Expression  (Per 18S rRNA)  and Respiratory Chain Complex Activities
15002	Effects of Vardenafil 10 mg and Placebo on Exercise Parameters in Patients With Angina and ≥1 mm ST-Segment Depression
15003	Effect of Vardenafil 10 mg on HR, Blood Pressure, and Rate-Pressure Product at Rest and During Peak Exercise  (n = 41)
15004	Adverse Events Reported During Treatment With Vardenafil or Placebo
15005	Response to treatment in prognostic subgroups
15006	Progression-free survival at 3 years after randomisation in prognostic subgroups
15007	Overall survival at 3 years after randomisation in prognostic subgroups
15008	CVD Risk Factors by Case-Control Status
15009	Multivariate analysis of the effects of various prognostic variables on progression-free survival and overall survival in 524 patients
15010	Distribution of Hp Types by Case-Control and Diabetes Status
15011	Incidence of grade 3 and 4 adverse events
15012	Conditional Logistic Regression Predicting the Probability of a CVD Event
15013	Countries with and without hospital profiles or pulse oximetry data
15014	Estimated number of operating theatres per 100 hospital beds, by region*
15015	Estimated number of operating theatres per head, ranked by estimated number per 100 000 population
15016	Estimates of the number of operating theatres from our model compared with direct reports
15017	Estimated number of operating theatres without pulse oximetry, by subregion, ranked by percentage without pulse oximetry
15018	Estimated number of operations without pulse oximetry
15019	Minimum anaesthesia monitoring standards survey, by region  *
15020	Management of anaesthesia
15021	Incidence of respiratory adverse events
15022	Anaesthetic drugs, airway management, and respiratory complications
15023	Risk factors associated with perioperative bronchospasm
15024	Risk factors associated with perioperative laryngospasm
15025	Risk factors associated with perioperative cough, desaturation, or airway obstruction
15026	Risk of perioperative respiratory adverse events according to timing of upper respiratory tract infection
15027	Risk factors for perioperative bronchospasm, laryngospasm, or all complications according to timing of symptoms and respiratory adverse events
15028	Adequate clinical and parasitological response  (ACPR)  by timepoint  (per-protocol population)
15029	Adequate clinical and parasitological response  (ACPR)  by timepoint  (intention-to-treat population)
15030	PCR-corrected adequate clinical and parasitological response at day 28 in the per-protocol population by region and centre
15031	Most frequent adverse events reported in the safety  (intention-to-treat)  population
15032	Logistic Regression Analyses for the Presence of Coronary Artery Disease
15033	Virological response
15034	Rates of sustained virological response by time to first undetectable hepatitis C virus RNA
15035	Factors affecting sustained virological response
15036	Adverse events during treatment  (≥30% incidence)
15037	Haematological parameters
15038	Discontinuations and dose reductions
15039	Adjusted hazard ratios for death in the CD4 and total lymphocyte and haemoglobin prognostic models
15040	Estimates of cumulative mortality at 1 year in highest and lowest risk groups from main analysis and analysis including patients lost to follow-up.
15041	Observed and Expected Maternal Mortality in the Study Women With a First Pregnancy After 1954, and Relative Risk According to Age- and Year-Specific Maternal Mortality Rates in the General Italian Population Between 1955 and 1984
15042	Clinical Features and Echocardiographic Findings in 40 Women With Hypertrophic Cardiomyopathy and a Pregnancy Within Five Years of Evaluation
15043	Service members who were deployed, medically evacuated, and returned to duty  (RTD)  by year, military operation, and service branch
15044	Logistic regression model of probability of return to duty after medical evacuation  (n=34 006, r 2=0·1739)
15045	Proportion of individuals with psychiatric diagnoses who were medically evacuated and did or did not return to duty  (n=2978)
15046	Best overall confirmed tumour response status  (intention-to-treat population)
15047	Olaparib-related adverse events  ‡  , according to grade, arising in two or more patients
15048	Dose interruptions and reductions due to adverse events
15049	Best overall confirmed tumour response status  (intention-to-treat population)
15050	Best overall confirmed tumour response status  (intention-to-treat population)  by BRCA mutation status and hormonal status
15051	Olaparib-related adverse events, according to grade, arising in two or more patients
15052	Dose interruptions and reductions due to adverse events
15053	Manual removal of placenta
15054	Secondary outcomes
15055	Enrolment by dose
15056	Imaging results and circulating tumour cell numbers
15057	Grade 3–4 adverse events and patients who discontinued treatment because of an adverse event, by dose
15058	Differences in Electrocardiographic and Echocardiographic Parameters Before and After One Month of Cardiac Resynchronisation Therapy
15059	Rate of laboratory and clinical dose-limiting toxic effects, or grade 3 and 4 toxic effects as defined by the AIDS Clinical Trial Group,  28   by study group
15060	Comparison of One-Month Percent Variations Occurring in the Studied Parameters Between Responders and Nonresponders
15061	Subsequent drug exposure groups by first drug exposure group
15062	Comparison of antithrombotic drug exposure groups
15063	Distribution of non-fatal and fatal bleeding events
15064	Sensitivity analyses
15065	Outcomes by treatment allocation
15066	Comparison of mosquito densities between intervention and control groups
15067	Comparison of haemoglobin concentrations between intervention and control groups
15068	Anaemia and parasitaemia in intervention and control groups
15069	Short-Term CABG and PCI Outcomes of Diabetic Patients
15070	CABG and PCI 36-Month Diabetic Patient Survival, Survival Free of Unstable Angina, and Survival Free of Unstable Angina or Repeat Revascularizations
15071	Hemodynamics of EMCV-Infected and Uninfected Mice Based on Pressure-Volume Relations on Days 1, 7, and 14
15072	Effect of Hypertonic Saline on Hemodynamics of EMCV-Infected and Uninfected Mice on Days 1, 7, and 14
15073	Grade 3–4 toxic effects per treatment group
15074	Activity of both treatment groups
15075	Management and outcome in published prospective trials of primary CNS lymphomas in immunocompetent patients given chemotherapy alone or combined treatment
15076	Risk periods for each analysis
15077	Protective efficacies of IPTi with sulfadoxine-pyrimethamine
15078	Combined estimates and sensitivity analysis
15079	Deaths, non-fatal hospital admissions, and serious dermatological adverse events up to 12 months of age, or 3 months after the last dose of study treatment received, whichever is earlier
15080	Bacterial isolates from patients with bacteraemia, stratified by sickle-cell anaemia status
15081	Odds ratios for sickle-cell anaemia in children with bacteraemia versus controls
15082	Incidence of admission to hospital with bacteraemia per 100 person-years of observation, stratified by age group
15083	Serotypes of Streptococcus pneumoniae isolates by status of sickle-cell anaemia
15084	Overall worst toxicities
15085	Deaths and hospitalisations from cardiovascular causes
15086	Patients with events  (numbers of events)  for various cardiovascular hospitalisations or deaths
15087	Patients with serious adverse events
15088	Bone fractures reported as serious and non-serious adverse events
15089	Relationship Between Clinical, Morphologic and Functional Features at Initial Evaluation and Occurrence of Stroke or Other Peripheral Vascular Events in 900 Patients With Hypertrophic Cardiomyopathy
15090	Echocardiographic Parameters in SAM Groups
15091	Nonlinear Regression Parameters for y = α  (x + γ) β
15092	Incidence of antimalarial treatments and illness episodes in children in the community-based and clinic-based trials
15093	Antimalarial treatment for febrile episodes in the community-based trial
15094	Clinical assessments in the community-based trial
15095	TWA, LVEF, SAECG, LVDd, NSVT and the Combination of TWA and the OHR or LVEF as Predictor of Event-Free Survival
15096	Univariate Predictors of Arrhythmic Events in Dilated Cardiomyopathy Patients With Determinate TWA Results
15097	Multivariate Predictors of Arrhythmic Events in Dilated Cardiomyopathy Patients With Determinate TWA Results
15098	Reasons for non-compliance with randomisation to anaesthetic technique
15099	Surgical and anaesthetic procedure
15100	Primary outcomes between randomisation and 30 days after anaesthesia  (or after randomisation for patients who were not anaesthetised)
15101	Epidemiological summary of malaria in children age less than 14 years, in Kilifi, Kenya, 1990–2007
15102	Difference in all admissions and slide-positive admissions before and after the decline in slide-positive admissions
15103	Processes-of-care and outcomes in the propensity-matched pairs
15104	Effect of IPT on health outcomes: anaemia, haemoglobin, and P falciparum parasitaemia
15105	Effect of IPT on cognition: attention in class
15106	Effect of IPT on educational achievement
15107	Study Group  (n = 111)
15108	Extent and Severity Scores by Tetrofosmin and BMIPP for Three Groups
15109	Tetrofosmin and BMIPP Findings and Rates of Disease for Three Groups
15110	Comparison of countries with and without available surgical data
15111	Single-Photon Emission Computed Tomographic Scores for Coronary Angiographic Findings
15112	Average national rate of surgery for countries in each category of health expenditure, with total volume of surgery contributed by each category
15113	Effect of maternal MMN supplementation on infant deaths
15114	Effect of maternal MMN supplementation on fetal loss and maternal death
15115	Effect of maternal MMN supplementation on early infant mortality in subgroups
15116	Effect of maternal MMN supplementation on low birthweight and mean birthweight
15117	NPC training, entrance requirements, scope of practice, and practice locale in the 25 sub-Saharan African countries with NPCs
15118	Reported training cost per year for NPCs in selected sub-Saharan African countries  *
15119	NPCs and physicians per 100 000 head of population for sub-Saharan countries with NPCs
15120	Non-nucleoside reverse transcriptase inhibitor viral drug resistance
15121	Non-nucleoside reverse transcriptase inhibitor viral drug resistance at 2 and 6 weeks after delivery, according to HIV-1 viral load at time of delivery
15122	Perinatal HIV transmission at 6 weeks of life
15123	Coronary Artery Disease  (or Summed Stress Score ≥4)  According to the Number of Sites With Calcium Deposits  (or Sclerosis)
15124	Coronary Artery Disease  (or Summed Stress Score ≥4)  According to the Multiple Calcium Deposits  (or Sclerosis)  and DM or Multiple Risk Factors of Coronary Artery Disease
15125	Predictors of Coronary Artery Disease  (or Summed Stress Score ≥4)  in Multivariate Analyses
15126	Best response to treatment at 12 months
15127	Second-line treatment in patients treated as assigned
15128	Grade 3 or 4 toxic effects
15129	Details of cardiac bypass surgery
15130	Effect of consumption of iron-fortified flour on iron status, compared with placebo
15131	Kaplan-Meier estimates of the likelihood of recurrent ulcer bleeding at 13 months
15132	Efficacy of combined treatment versus celecoxib alone for arthritis
15133	Incidence of severe and important adverse events
15134	Complications
15135	Days Length of Hospital Stay *
15136	Perception of Perioperative Pain and Activity
15137	Comparison of Variable Costs/Patient Charges *
15138	Summary of most common micro-organisms by site of infection
15139	Efficacy analyses
15140	Safety analyses
15141	Design of included trials
15142	One-Year Results in the NSRT and Surgery Groups
15143	Exercise Tolerance in the NSRT and Surgery Groups
15144	Echocardiographic Parameters in the NSRT and Surgery Groups
15145	Control pattern of targeted motor reinnervation prosthesis in this patient
15146	Functional outcome comparing conventional myoelectric prosthesis with experimental TMR-controlled prosthesis
15147	The ten maternal health problems most commonly identified by women attending MaiMwana women's groups in Mchinji District across all periods  (n=172)
15148	The ten maternal health problems antepartum, intrapartum, and postpartum most commonly identified by women attending MaiMwana women's groups in Mchinji District
15149	Weights and Resting Hemodynamics in Sham and Pacing-Induced Rabbits With Heart Failure
15150	Follow-up dietary data
15151	6-month infant haematological and iron status by treatment group
15152	Indication for caesarean delivery, according to type of institution
15153	Association between proportion of risk factors, according to institutions, and proportion of caesarean deliveries  (multivariable analysis)
15154	Association between proportion of all caesarean deliveries and maternal and perinatal outcomes at institutional level
15155	Association between proportion of elective caesarean deliveries and maternal and perinatal outcomes at institutional level
15156	Association between proportion of intrapartum caesarean deliveries and maternal and perinatal outcomes at institutional level
15157	The Effect of CO, CS and Air Inhalation on HR and Blood Pressure
15158	Cox model analysis of factors associated with early death in the Chiradzulu programme, Malawi  (n=1308)
15159	Viral load measures of 397 patients in cross-sectional virological survey
15160	Clinical response
15161	Grade 3–4 adverse events
15162	Results at different times after inclusion
15163	Effect of supplementation with iron and folic acid with or without zinc on serious adverse events, deaths, and admissions to hospital overall, by age group and by duration of supplement compared with placebo.
15164	Effects on overall adverse events, deaths, and admissions to hospital and on cause-specific adverse events in the two iron and folic acid groups compared with placebo
15165	Effects of supplementation with iron and folic acid with or without zinc on adverse events overall and by iron status and anaemia  (substudy)
15166	Mortality, morbidity, and re-interventions within 30 days after first intervention
15167	Comparison of hazard of amputation-free survival and all-cause mortality
15168	Comparison of HRQL by intention-to-treat analysis at different time points from randomisation
15169	Comparison of use of hospital resources by intention to treat during first 12 months from randomisation
15170	Clinical responses at week 10, week 24, and week 50
15171	Adverse events during the placebo-controlled phase  (weeks 0–24)
15172	Macrovascular morbidity at study entry and associated medications
15173	Numbers of first events contributing to the primary composite and main secondary endpoints
15174	Effect of pioglitazone and placebo on each component of the primary endpoint
15175	Change in proportion of patients using concomitant medications
15176	Serious adverse event summary
15177	Reports of heart failure
15178	Indications for Use
15179	Summary of Outcomes/Complications
15180	Unsuccessful IABP *
15181	Risk Factors for Major Complications of IABP *
15182	IABP Complications and In-Hospital Mortality
15183	Location of colon lesions
15184	Colon imaging test sensitivity
15185	Colon imaging test specificity
15186	Colon imaging test sensitivity by preparation quality
15187	Clinical treatment outcome at day 28  (per-protocol analysis)
15188	Clinical treatment outcome at day 28  (intention-to-treat analysis)
15189	Falls and Syncope During 12-Month Follow-Up by Treatment Group by History of Falling
15190	Mortality by age and CD4% at randomisation
15191	Hospital admissions and inpatient days
15192	Grade 3 and 4 adverse events possibly or probably related to masked trial drug
15193	Outcome measures and location of recurrences
15194	Etiologies of Cardiogenic Shock by Gender
15195	Hemodynamic Findings in Patients With Predominant LV Failure
15196	Angiographic Findings and Treatment Approaches in Patients With Predominant LV Failure
15197	Summary of confirmed awareness events
15198	Summary of possible awareness events that were not confirmed by the study endpoint committee
15199	Comparison of anaesthetic procedures
15200	Recovery times and postoperative complications
15201	Number of cases of erythropoietin-induced pure red cell aplasia in France and Germany, by year of diagnosis
15202	The Predicted Success of a Series of Up to Nine Shocks Including Three at 360 J Was Not Matched in Clinical Practice *
15203	Outcome of patients with erythropoietin-induced pure red cell aplasia, by immunosuppressive treatment
15204	Maternal haemoglobin concentrations  (g/L)  at time of delivery in women with chronic pregnancy-associated P falciparum malariaaccording to their plasma IgG concentration with specificity for type of VSA
15205	Birthweights of children born to mothers with chronic pregnancy-associated P falciparum malariaaccording to mothers' plasma IgG concentration with specificity for type of VSA
15206	Multiple linear regression analysis of pregnancy outcome in 89 women with chronic pregnancy-associated malaria
15207	Biomarker correlation with oxygen saturation and haematological variables
15208	Effect of epoetin-β treatment on study endpoints
15209	Variables of the Three Groups During the Perioperative Period
15210	Analysis of Sjvo 2Values Reported by the Oximetric Catheter
15211	Analysis of Sjvo 2Values Reported by the Oximetric Catheter
15212	Number of Patients With Cognitive Impairment at Seven Days and Six Months After the Operation
15213	Results of a Multivariable Logistic Regression
15214	Intraoperative data
15215	Postoperative follow-up data
15216	PASE Activities, Performances and Weight Scores
15217	In-Hospital Outcomes of Elderly Patients With and Without Preinfarction Angina
15218	In Hospital Outcomes of Elderly Patients  (n = 510)  According to the Quartiles of Physical Activity
15219	In-Hospital Outcomes of Elderly Patients With and Without Preinfarction Angina  (n = 323)  According to the Quartiles of Physical Activity
15220	Effect of Preinfarction Angina in Elderly Patients According to the Quartiles of Physical Activity on In-Hospital Death, Cardiogenic Shock and Combined End Points of In-Hospital Death and Cardiogenic Shock
15221	Overall morbidity and complication grades
15222	Rate of malarial fever and protective efficacy of amodiaquine during the 6-month intervention phase by treatment group
15223	Rates of anaemia, protective efficacy of amodiaquine, outpatient attendances, and hospital admissions during the 6-month intervention phase by treatment group
15224	Protective effect of amodiaquine on malaria and anaemia episodes during the first and last parts of the intervention
15225	Concentration of antibodies to vaccines
15226	Crude and Adjusted Relative Risks of Cardiovascular Events According to Quartile of Plasma Level of Lp-PLA2
15227	Crude and Adjusted Relative Risks of Cardiovascular Events Associated With a One-Quartile Increase in the Concentration of Lp-PLA2and CRP
15228	Analysis of the components of the IGF-I system in ventral horn homogenates
15229	Hemodynamic and Neurohumoral Data
15230	Clinical and laboratory data of patients
15231	Molecular weight determined by MALDI-TOFMS compared with molecular weight calculated from aminoacid sequence
15232	Univariate and Multivariate Linear Model of LV Mass Index in 51 DCM Patients With CHF
15233	Effect of  NOS2 −1173 C→T genotype on malarial outcomes in Tanzanian and Kenyan children
15234	Effect of −1173 C T genotype on development of severe malarial anaemia and parasitaemia in Kenyan children
15235	Effect of CCTTTn long versus short genotype on development of severe malarial anaemia and parasitaemia in Kenyan children
15236	Effect of −1173 C®T/CCTTT12–13 genotype on development of severe malarial anaemia and parasitaemia in Kenyan children
15237	Endpoints
15238	Decreases in haemoglobin concentration or packed-cell volume between days 0 and 7
15239	Effect of interventions on the frequency of iron deficiency, defined by serum ferritin concentration <12 μg/L  *
15240	Effect of interventions on risk of malaria attacks
15241	Comparison by hazard ratio for a malaria attack between groups who received interventions or placebo
15242	Distribution of preoperative risk factors required for eligibility for randomisation in 915 patients recruited
15243	Visual analogue scale pain scores on the first 3 postoperative days
15244	Endpoints
15245	Summary of deaths within 30 days of surgery
15246	Study Group Indexed RA Area and RV Volume Over Time
15247	Groin hernia surgery in Denmark, Jan 1, 1998, to June 30, 2000
15248	Rate of reoperation in elective primary or recurrent inguinal hernia operations in 21874 patients  (23 695 operations)
15249	Virological response at the end of treatment and follow-up
15250	Histological responses in patients with biopsy samples from before and after treatment
15251	SVR rate by pretreatment variable and treatment group and according to ribavirin dose
15252	Rates of discontinuation of treatment, dose reduction, and adverse events during treatment
15253	Time Schedule of Sampling of Cardiac Lymph, Plasma and Myocardium legend
15254	Course of Plasma and Lymph cTnI Levels During and After CPB in Pigs in Moderate Hypothermia During Surgery or in Normothermia legend legend
15255	Maternal morbidity statistics for normal populations
15256	Pregnancy outcome
15257	Pregnancy complications
15258	Details of pregnancies in female recipients of allogeneic stem cell transplants
15259	Outcome among patients with renal dysfunction at presentation and SAA production within the reference range throughout the study
15260	Outcome among patients with persistently raised SAA production  (median SAA >50 mg/L between each scan)
15261	Differentially Expressed Genes in the Heart in HCM legend
15262	Use of referral facilities and hospital admissions
15263	Primary outcomes
15264	Secondary outcomes
15265	Costs to providers and women in Cuba and Thailand
15266	Women's and providers' perception and satisfaction
15267	Frequency of main outcomes during first year of life
15268	Serological responses to some EPI vaccines
15269	Categories of reproductive morbidity and their denominators for analyses
15270	Health-seeking behaviour in relation to complaint as reported to the fieldworker
15271	Findings on clinical examination
15272	Laboratory findings
15273	Six-Month Mortality by Peak CK-MB Isoenzyme Ratio legend
15274	Sex and status of patients with homozygous sickle-cell disease at end of study  (Jan 1, 1997)
15275	Six-Month Mortality by Peak CK-MB Isoenzyme Value legend
15276	Age at entry to study, duration of follow-up, and age at death
15277	Six-Month Mortality by Postcoronary Artery Bypass Graft Surgery Occurrence of Two-Step Minnesota Code Worsening Electrocardiographic Abnormalities legend
15278	Kaplan-Meier survival estimates of patients with homozygous sickle-cell disease from birth
15279	Final Multiple Logistic Regression Model ∗ Predicting Six-Month Mortality in Patients Who Had CABG legend
15280	Final Multiple Logistic Regression Model Predicting Six-Month Mortality in Patients Who Survived >10 Days After CABG legend
15281	Toxic effects of treatment in patients who received induction chemotherapy
15282	Response and survival
15283	Summary of functional results at follow-up
15284	Effect of Beta-Blockers Before Crossover of Treatment legend
15285	Prospective Crossover Comparison legend
15286	Dobutamine Stress Echocardiography legend
15287	Outcome summary to day 60
15288	Blood and colloid transfusions to day 7
15289	Relation between parity and placental weight, birthweight, and maternal serum ferritin and haemoglobin
15290	Multiple regression analysis of factors influencing placental weight in 1205 term pregnancies
15291	Morphometric analysis of villous capillarisation in term placentas and relation to serum ferritin and haemoglobin concentrations
15292	Patients' experiences of awareness during surgery
15293	Details of awareness obtained by interview
15294	Reasons for discontinuation of assigned treatment
15295	Occurrence of first outcome events
15296	Types of haemorrhage  (number of fatalities)
15297	Subgroup analysis of occlusion
15298	Physiologic Variables in Control Mice legend
15299	Physiologic Variables in Dbh  −/− Mice legend
15300	Echocardiographic Variables in Dbh −/−Mice Before and After Repletion of Norepinephrine with l-Threo-3,4-Dihydroxyphenylserine legend legend
15301	Frequency of arrhythmias during anaesthesia in children who had at least one episode
15302	Details of operative procedures
15303	Menstrual status and symptoms at 12 months
15304	Patients' satisfaction and efficacy and acceptability of treatment
15305	Aortic Atherosclerosis in Subjects With Aortic Valve Sclerosis and Upper Quintile Transaortic Velocities legend
15306	Odds Ratios of Aortic Valve Sclerosis and Upper Quintile Transaortic Flow Velocities in Relation to Presence, Location and Severity of Aortic Atherosclerosis legend
15307	Odds Ratios of Aortic Valve Sclerosis and Upper Quintile Transaortic Velocities in Relation to Clinical Coronary Artery and Cerebrovascular Disease legend
15308	Studies of prophylactic bed rest after medical procedures
15309	Randomised controlled trials examining the use of bed rest as a treatment
15310	HIV-1 transmission and HIV-1-free survival at ages 1–3 days, 6–8 weeks, and 14–16 weeks
15311	Prognostic factors for HIV-1-infection in univariate Cox's regression models
15312	Effect of vitamin A supplementation on malaria and general morbidity
15313	Age-specific effects of vitamin A on falciparum malaria morbidity and end of study malariometric indices
15314	Results of an audit of nurse-led sedation from 1995 to 1997
15315	Comparison of factors known to be associated with birth outcome in mebendazole and control groups
15316	Comparison of birth outcomes in mebendazole and control groups
15317	Congenital defects in mebendazole and control groups
15318	Incidence of birth defects according to timing of mebendazole therapy
15319	Frequency of mebendazole use according to birthweight
15320	Cumulative amputations  (%)  at 6-month and 2-year follow-up
15321	Estimated transmission risk
15322	Efficacy and timing of transmission
15323	Risk factors for transmission and transmission rates, by treatment group
15324	Logistic-regression analysis of effect of zidovudine treatment and RNA viral load at delivery on risk of transmission
15325	Defined Ranges of IB Values for the Color-Coded Maps in Each Histologic Category legend
15326	Iron content of foods cooked in different types of pot
15327	Change in haemoglobin concentration during study by type of cooking pot
15328	Growth in study groups
15329	Change in weight and length according to change in haemoglobin concentrations
15330	Effect of intermittent treatment doses of sulphadoxine-pyrimethamine compared with placebo on proportion of women with severe anaemia
15331	Effect of intermittent treatment doses of sulphadoxine-pyrimethamine compared with placebo on proportion of women with peripheral parasitaemia
15332	Effect of intermittent treatment doses of sulphadoxine-pyrimethamine compared with placebo on postnatal outcome
15333	Morphometric analysis of villous capillarisation, macrophage density, and stromal-cell proliferation in first and third trimester placentas according to haemoglobin concentrations in maternal blood
15334	Attempted Treatment for MAT legend
15335	Published Reports of MAT in children legend
15336	Postoperative complications in whole group
15337	Proportion of patients with postoperative cognitive dysfunction at 1 week and 3 months by risk factor
15338	Analysis of major risk factors in relation to first postoperative test
15339	Relation of major risk factors to results 3-month test
15340	Treatment responses
15341	HCV-RNA data at week 48
15342	Prognostic Impact of Diabetes According to Etiology of Heart Failure: Adjusted Analyses of the SOLVD Prevention and Treatment Trials Combined legend
15343	Virological responses at end of treatment and follow-up by pre-treatment HCV-RNA concentration and genotype
15344	Adjusted Analyses of Cohort Survival legend
15345	Incidence of Death and Modes of Death According to Surgical Revascularization Status in Diabetic and Nondiabetic Patients legend
15346	Toxic effects of treatment
15347	Tumour response
